dist_name,state_name,ST_CEN_CD,DT_CEN_CD,censuscode,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,state_name_full
mahamaya_nagar,UP,9,13,144,74.65666666666667,73.61999999999999,80.08,86.52333333333334,90.84333333333332,103.69666666666667,96.40666666666668,95.11,87.63333333333334,94.99999999999997,103.44,99.47333333333333,111.16333333333333,111.19333333333334,108.28666666666665,103.17999999999999,101.17333333333333,101.90666666666668,107.34,107.08,105.64333333333333,109.92,101.98333333333336,Uttar Pradesh
maharajganj,UP,9,56,187,52.239534883720935,53.755813953488385,64.88139534883722,74.31162790697675,64.39767441860468,68.83255813953488,69.67441860465115,72.46046511627907,81.72093023255813,79.02093023255816,83.5860465116279,87.73488372093021,82.31627906976745,91.87674418604651,83.57441860465116,79.03953488372092,75.89302325581396,84.3093023255814,84.52325581395353,80.16976744186049,83.4860465116279,81.51627906976744,81.41860465116277,Uttar Pradesh
mahoba,UP,9,38,169,49.90217391304348,50.64565217391305,50.47173913043478,54.91304347826087,59.05434782608697,64.59130434782608,63.78478260869565,61.16304347826087,56.86956521739128,63.55434782608699,72.72826086956522,66.29999999999998,65.3804347826087,70.54782608695653,71.01521739130436,69.78695652173913,69.04782608695652,65.97826086956522,70.50434782608696,70.8195652173913,71.03043478260868,78.52173913043478,75.93478260869564,Uttar Pradesh
mainpuri,UP,9,17,148,81.71000000000001,80.80749999999998,82.77000000000001,89.27,92.60249999999999,98.86749999999998,96.33999999999999,94.9725,88.28999999999999,93.36249999999998,104.67,98.94249999999998,105.10999999999999,107.30750000000003,100.97749999999998,108.1575,102.11499999999998,102.65750000000003,106.56249999999997,106.50999999999996,106.50999999999999,109.18749999999997,104.24249999999999,Uttar Pradesh
mathura,UP,9,14,145,75.69999999999999,74.39166666666667,80.33958333333332,88.61666666666667,90.60000000000001,100.55833333333335,96.95208333333335,96.14374999999995,87.39999999999999,93.82499999999999,100.43541666666668,98.47291666666668,110.73124999999999,113.44999999999999,107.44791666666669,102.61874999999999,101.09583333333335,102.96666666666665,108.71875,107.4354166666667,105.25625000000001,109.26666666666665,104.50833333333333,Uttar Pradesh
mau,UP,9,61,192,75.7346153846154,70.88846153846154,80.23076923076921,91.2346153846154,85.54615384615384,93.65384615384612,94.76538461538462,89.63076923076923,88.68846153846155,96.3576923076923,111.84615384615387,102.44615384615382,98.06538461538463,108.44615384615385,99.99999999999999,103.26153846153846,93.07307692307693,91.34615384615383,115.70000000000003,95.53846153846153,100.36538461538461,104.21923076923078,103.04230769230769,Uttar Pradesh
meerut,UP,9,7,138,44.23170731707318,46.16585365853659,55.29268292682928,60.697560975609754,65.55365853658539,81.05365853658537,76.16097560975611,69.71463414634147,66.09024390243901,72.04634146341466,78.39024390243902,77.34146341463415,90.6341463414634,86.97317073170731,75.93414634146345,80.18780487804878,79.08780487804877,84.45365853658535,89.23658536585367,78.41951219512195,84.14634146341464,73.74634146341464,73.34146341463415,Uttar Pradesh
mirzapur,UP,9,68,199,47.05230769230772,46.74,48.82923076923077,53.373846153846145,55.607692307692304,61.06307692307692,60.99384615384614,55.5923076923077,53.036923076923074,57.96153846153844,70.69999999999999,60.72153846153846,60.040000000000006,71.19538461538463,63.69230769230769,66.05846153846154,61.829230769230776,59.133846153846164,71.18153846153847,66.33846153846154,64.5523076923077,75.06461538461538,69.03538461538461,Uttar Pradesh
moradabad,UP,9,4,135,43.3,42.44705882352942,49.356862745098056,50.61764705882353,56.05686274509803,63.617647058823536,62.649019607843144,57.709803921568614,55.656862745098046,59.53725490196078,66.70588235294119,64.70196078431374,71.9843137254902,71.50588235294119,62.14117647058822,69.19411764705882,66.33529411764705,69.48627450980392,75.61764705882354,66.58235294117647,69.69215686274511,62.092156862745085,64.78627450980393,Uttar Pradesh
muzaffarnagar,UP,9,2,133,40.987719298245615,44.719298245614034,51.95438596491228,55.09473684210526,60.67894736842105,69.08947368421053,70.2912280701754,64.33333333333333,64.7578947368421,68.38070175438598,75.49473684210528,72.38070175438597,80.84561403508773,80.17192982456142,66.38947368421053,77.59122807017542,72.36666666666666,78.03859649122806,84.87017543859652,73.00877192982455,80.45789473684212,69.41403508771928,72.9456140350877,Uttar Pradesh
